Original Sequence,734
Random 1,-786
Random 2,-772
Random 3,-766
Random 4,-761
Random 5,-760
Random 6,-732
Random 7,-766
Random 8,-746
Random 9,-746
Random 10,-755
Random 11,-776
Random 12,-784
Random 13,-790
Random 14,-756
Random 15,-774
Random 16,-757
Random 17,-781
Random 18,-810
Random 19,-755
Random 20,-762
Random 21,-791
Random 22,-732
Random 23,-761
Random 24,-743
Random 25,-722
Random 26,-783
Random 27,-766
Random 28,-763
Random 29,-789
Random 30,-727
Random 31,-747
Random 32,-788
Random 33,-807
Random 34,-802
Random 35,-766
Random 36,-752
Random 37,-764
Random 38,-741
Random 39,-762
Random 40,-742
Random 41,-760
Random 42,-731
Random 43,-754
Random 44,-760
Random 45,-790
Random 46,-789
Random 47,-768
Random 48,-743
Random 49,-766
Random 50,-745
Random 51,-744
Random 52,-733
Random 53,-769
Random 54,-773
Random 55,-769
Random 56,-721
Random 57,-755
Random 58,-759
Random 59,-773
Random 60,-771
Random 61,-775
Random 62,-785
Random 63,-771
Random 64,-754
Random 65,-819
Random 66,-742
Random 67,-800
Random 68,-769
Random 69,-770
Random 70,-749
Random 71,-750
Random 72,-801
Random 73,-733
Random 74,-761
Random 75,-771
Random 76,-794
Random 77,-792
Random 78,-765
Random 79,-750
Random 80,-788
Random 81,-750
Random 82,-778
Random 83,-746
Random 84,-789
Random 85,-740
Random 86,-794
Random 87,-681
Random 88,-786
Random 89,-785
Random 90,-756
Random 91,-729
Random 92,-790
Random 93,-753
Random 94,-789
Random 95,-801
Random 96,-711
Random 97,-767
Random 98,-751
Random 99,-777
Random 100,-775
